strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.96875,1.75,1.5,1.40625
2.0,1.96875,1.75,1.5,1.40625
3.0,1.96875,1.75,1.5,1.40625
3.5,1.96875,1.375,1.5,1.40625
4.0,1.96875,1.0,1.28125,1.40625
4.5,1.96875,1.0625,1.40625,1.140625
5.0,1.96875,1.125,1.125,1.265625
5.5,1.96875,1.125,1.125,1.265625
6.0,1.96875,1.125,1.265625,1.234375
7.0,1.96875,1.15625,1.171875,1.34375
8.0,1.96875,1.1875,1.09375,1.640625
9.0,1.875,1.421875,1.96875,1.265625
10.0,1.875,1.4921875,1.625,1.7734375
11.0,1.875,1.5625,1.671875,1.8515625
12.0,1.875,1.953125,1.2734375,1.923828125
13.0,1.875,1.953125,0.875,1.99609375
14.0,1.875,1.953125,0.875,1.765625
15.0,1.875,1.953125,0.875,1.515625
16.0,1.875,1.953125,0.875,1.4140625
17.0,1.875,1.953125,0.875,1.3125
18.0,1.875,1.953125,0.875,1.2109375
19.0,1.875,1.953125,0.875,1.109375
20.0,1.875,1.953125,0.875,1.109375
