strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.5,1.90625,1.078125
2.0,1.5,1.90625,1.078125
3.0,1.5,1.90625,1.078125
3.5,1.5,1.90625,1.078125
4.0,1.5,1.125,1.0625
4.5,1.25,0.75,0.78125
5.0,1.0,0.6875,1.015625
5.5,0.90625,0.78125,0.796875
6.0,0.8125,0.8125,0.8359375
7.0,0.875,0.890625,0.8984375
8.0,1.125,0.921875,0.953125
9.0,1.375,1.0,0.9375
10.0,1.5,1.0625,0.9921875
11.0,1.25,1.125,1.0859375
12.0,1.0,1.125,1.0
13.0,1.0,1.25,1.09375
14.0,1.0,1.375,1.140625
15.0,1.0,1.375,1.09375
16.0,1.0,1.25,1.171875
17.0,1.0,1.375,1.328125
18.0,1.0,1.8125,1.125
19.0,1.0,1.5,1.171875
20.0,1.0,1.5,1.140625
