,AAPL,APHA,BAC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,1.0,0.14644837797316615,0.28620389171188565,0.27431673545521884,0.1516612659959088,0.11351231899188463,0.4948797348796962,0.24223769814891646,0.38332511186037665,0.7608767665790035,0.3376191958516398,0.13568453641648812,0.504145739583046,0.20927506180021052,0.24849141891612078,0.5496539941070769
APHA,0.14644837797316615,1.0,0.20820663029832623,0.252076111326615,0.2500076231532368,0.5931013997288553,0.32862018943259474,0.2172696726148261,0.2465381212502985,0.13466958826572023,0.23093149736117496,0.751098120438757,0.2541135435556901,0.2089021953579543,0.28535802273974603,0.21118788097934965
BAC,0.28620389171188565,0.20820663029832623,1.0,0.9151731764871145,0.6717212571296166,0.19769244133485017,0.7808270582576651,0.9390001462482852,0.8631924090707006,0.3044324419658675,0.7957024396042602,0.23136766701511474,0.1674166494951277,0.9057521793887194,0.7769534851737534,0.5603289048050546
C,0.27431673545521884,0.252076111326615,0.9151731764871145,1.0,0.6889673872075985,0.24298562626001877,0.7850852205096969,0.8938374321033217,0.8336570032338794,0.2985741281765324,0.8030364643268603,0.2537795096295764,0.17324702305283132,0.8730718187358735,0.7691528464925107,0.506323304678089
GE,0.1516612659959088,0.2500076231532368,0.6717212571296166,0.6889673872075985,1.0,0.28090665380546814,0.6392945545879167,0.6751370174016678,0.6739212230990018,0.15405887724923711,0.6777624767969976,0.21665765332228804,0.11388159753552467,0.6575611658003838,0.682150065355087,0.4348561352153447
HEXO,0.11351231899188463,0.5931013997288553,0.19769244133485017,0.24298562626001877,0.28090665380546814,1.0,0.2981691238867832,0.20350271941071618,0.18845761447683024,0.07701432653949868,0.2612433912755709,0.6114680025285021,0.13400992039048368,0.2553940899428675,0.22677951688211892,0.12786442599816125
IWM,0.4948797348796962,0.32862018943259474,0.7808270582576651,0.7850852205096969,0.6392945545879167,0.2981691238867832,1.0,0.7640432619151164,0.7797119972109072,0.522157374006187,0.7590460164898954,0.3054070933768313,0.38053594768747057,0.7500624881702879,0.7565908057595454,0.685064064719008
JPM,0.24223769814891646,0.2172696726148261,0.9390001462482852,0.8938374321033217,0.6751370174016678,0.20350271941071618,0.7640432619151164,1.0,0.854859470516578,0.27598192347777933,0.7847791372555747,0.222185199561362,0.1495919083884225,0.9081016997987308,0.7588844875439492,0.5301585068294126
MS,0.38332511186037665,0.2465381212502985,0.8631924090707006,0.8336570032338794,0.6739212230990018,0.18845761447683024,0.7797119972109072,0.854859470516578,1.0,0.39303571344799654,0.7990448049745053,0.214975848646176,0.24726122484930113,0.7911747381140627,0.7468513543687939,0.6212267119360387
MSFT,0.7608767665790035,0.13466958826572023,0.3044324419658675,0.2985741281765324,0.15405887724923711,0.07701432653949868,0.522157374006187,0.27598192347777933,0.39303571344799654,1.0,0.3532955641033269,0.1161769883084798,0.4925005738825057,0.2215870375661214,0.28830786584363904,0.6780827859671653
TD,0.3376191958516398,0.23093149736117496,0.7957024396042602,0.8030364643268603,0.6777624767969976,0.2612433912755709,0.7590460164898954,0.7847791372555747,0.7990448049745053,0.3532955641033269,1.0,0.1803192359841997,0.29420965860228293,0.7667066717329251,0.7588882385203596,0.5715309499137627
TLRY,0.13568453641648812,0.751098120438757,0.23136766701511474,0.2537795096295764,0.21665765332228804,0.6114680025285021,0.3054070933768313,0.222185199561362,0.214975848646176,0.1161769883084798,0.1803192359841997,1.0,0.14492353306507752,0.2577356867980863,0.2432861980292671,0.17351424263564028
TSLA,0.504145739583046,0.2541135435556901,0.1674166494951277,0.17324702305283132,0.11388159753552467,0.13400992039048368,0.38053594768747057,0.1495919083884225,0.24726122484930113,0.4925005738825057,0.29420965860228293,0.14492353306507752,1.0,0.11746187808932486,0.189899473813527,0.3281652504434333
USB,0.20927506180021052,0.2089021953579543,0.9057521793887194,0.8730718187358735,0.6575611658003838,0.2553940899428675,0.7500624881702879,0.9081016997987308,0.7911747381140627,0.2215870375661214,0.7667066717329251,0.2577356867980863,0.11746187808932486,1.0,0.7362076987197761,0.5109088747876599
XLE,0.24849141891612078,0.28535802273974603,0.7769534851737534,0.7691528464925107,0.682150065355087,0.22677951688211892,0.7565908057595454,0.7588844875439492,0.7468513543687939,0.28830786584363904,0.7588882385203596,0.2432861980292671,0.189899473813527,0.7362076987197761,1.0,0.5477773110807037
XLV,0.5496539941070769,0.21118788097934965,0.5603289048050546,0.506323304678089,0.4348561352153447,0.12786442599816125,0.685064064719008,0.5301585068294126,0.6212267119360387,0.6780827859671653,0.5715309499137627,0.17351424263564028,0.3281652504434333,0.5109088747876599,0.5477773110807037,1.0
