,AAPL,APHA,BAC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,0.15404952577611622,0.057729162746493694,0.05412206154678156,0.059050741848930895,0.03294913943366375,0.057888179329793454,0.06367926728738287,0.04034992213843351,0.06623418231648402,0.09821026282037652,0.04592161148621722,0.08281330489300585,0.1539331665894896,0.04119724613285577,0.0491923909775999,0.04994072927425044
APHA,0.057729162746493694,1.0086976761454343,0.1007496807507488,0.13885293755093864,0.13898661495972253,0.7739736416810513,0.10820391052110752,0.09260840561744342,0.10900572743834808,0.04447975739065134,0.08037546299657944,1.1730506487167043,0.198542845407918,0.10523108266591462,0.14455294705029995,0.049100375300688295
BAC,0.05412206154678156,0.1007496807507488,0.23213318284293702,0.24183255652007568,0.1791417950024229,0.12375860040474,0.12333651491668056,0.19200169388485844,0.18308845117679762,0.04823606944306174,0.13285536860017344,0.1733448163509273,0.062749920276374,0.21887619250118476,0.18880782319467385,0.06249524117110504
C,0.059050741848930895,0.13885293755093864,0.24183255652007568,0.30080547921621803,0.20916102067375664,0.17315704537289292,0.1411652747819204,0.2080521444866406,0.201286662728886,0.05385269122376993,0.15262931093117382,0.21644073692065222,0.07391874269925801,0.24016701814486763,0.212770726248509,0.06428447442394106
GE,0.03294913943366375,0.13898661495972253,0.1791417950024229,0.20916102067375664,0.3063927133771108,0.20203097247230536,0.11601347252461272,0.1585995403439985,0.16422265720246987,0.0280438936923881,0.13000993569937097,0.1864888324191903,0.04903867037677413,0.18255591016073638,0.19044759574485737,0.05572115718876361
HEXO,0.057888179329793454,0.7739736416810513,0.12375860040474,0.17315704537289292,0.20203097247230536,1.6882370346339681,0.12701282789889226,0.11221675754867365,0.10779909782283971,0.03290793273220582,0.11763101118871064,1.2354638035502283,0.135456415790379,0.16643631017466395,0.14861987451555375,0.038459333519642376
IWM,0.06367926728738287,0.10820391052110752,0.12333651491668056,0.1411652747819204,0.11601347252461272,0.12701282789889226,0.10748216593127127,0.10630579556878689,0.1125348785672547,0.0562965767923352,0.08623749170119116,0.15569938717221773,0.0970531896421852,0.1233349538081149,0.1251081543104188,0.05199178173633475
JPM,0.04034992213843351,0.09260840561744342,0.19200169388485844,0.2080521444866406,0.1585995403439985,0.11221675754867365,0.10630579556878689,0.18011155442440227,0.1597166674021003,0.038518005571472114,0.11541919535368986,0.1466308971341877,0.04938838317893282,0.19329730554549063,0.1624436785604509,0.052084899504094256
MS,0.06623418231648402,0.10900572743834808,0.18308845117679762,0.201286662728886,0.16422265720246987,0.10779909782283971,0.1125348785672547,0.1597166674021003,0.19380699617324962,0.05690220646909205,0.12190335643541499,0.14716819927657035,0.08468113310761423,0.17469386830795106,0.1658346395272677,0.06330968544551266
MSFT,0.09821026282037652,0.04447975739065134,0.04823606944306174,0.05385269122376993,0.0280438936923881,0.03290793273220582,0.0562965767923352,0.038518005571472114,0.05690220646909205,0.10814955445312208,0.040263391860866644,0.05941171101326633,0.12599839915903105,0.03654914678934607,0.047821722124009314,0.05162147333422666
TD,0.04592161148621722,0.08037546299657944,0.13285536860017344,0.15262931093117382,0.13000993569937097,0.11763101118871064,0.08623749170119116,0.11541919535368986,0.12190335643541499,0.040263391860866644,0.12009353038472691,0.09717206751497993,0.07931633733714269,0.13326299602629454,0.13264594588537446,0.0458495279292428
TLRY,0.08281330489300585,1.1730506487167043,0.1733448163509273,0.21644073692065222,0.1864888324191903,1.2354638035502283,0.15569938717221773,0.1466308971341877,0.14716819927657035,0.05941171101326633,0.09717206751497993,2.4181272844614172,0.1753171535757255,0.20101786658897783,0.1908153916785868,0.0624611558428841
TSLA,0.1539331665894896,0.198542845407918,0.062749920276374,0.07391874269925801,0.04903867037677413,0.135456415790379,0.0970531896421852,0.04938838317893282,0.08468113310761423,0.12599839915903105,0.07931633733714269,0.1753171535757255,0.6051901324329663,0.045831427475583025,0.07451196789648548,0.05909814096708915
USB,0.04119724613285577,0.10523108266591462,0.21887619250118476,0.24016701814486763,0.18255591016073638,0.16643631017466395,0.1233349538081149,0.19329730554549063,0.17469386830795106,0.03654914678934607,0.13326299602629454,0.20101786658897783,0.045831427475583025,0.2515596888946144,0.18624183076163667,0.05931974564103449
XLE,0.0491923909775999,0.14455294705029995,0.18880782319467385,0.212770726248509,0.19044759574485737,0.14861987451555375,0.1251081543104188,0.1624436785604509,0.1658346395272677,0.047821722124009314,0.13264594588537446,0.1908153916785868,0.07451196789648548,0.18624183076163667,0.2543974219813208,0.06395812180289955
XLV,0.04994072927425044,0.049100375300688295,0.06249524117110504,0.06428447442394106,0.05572115718876361,0.038459333519642376,0.05199178173633475,0.052084899504094256,0.06330968544551266,0.05162147333422666,0.0458495279292428,0.0624611558428841,0.05909814096708915,0.05931974564103449,0.06395812180289955,0.0535883787143853
