strike,2021-05-21,2021-06-18,2021-07-16,2021-10-15
0.5,1.5,1.5,1.5,1.25
1.0,1.5,0.75,1.0,1.75
1.5,1.5,0.75,1.25,1.125
2.0,1.5,0.75,1.5,1.0
2.5,1.5,0.75,1.75,1.25
3.0,1.5,0.75,1.75,1.25
